"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\README.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 20, 89
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\implementation.md", "Markdown", 0, 51, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\index.html", "HTML", 55, 0, 0, 0, 0, 0, 0, 4, 12, 71
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\package-lock.json", "JSON", 0, 0, 80, 0, 0, 0, 0, 0, 0, 80
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\package.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\public\googled9b3a66721e114b1.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\public\manifest.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 272, 0, 0, 10, 25, 307
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\AdminNotificationsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 187, 0, 0, 3, 24, 214
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\AdminUsersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 196, 0, 0, 0, 20, 216
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\DebtsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 224, 0, 0, 7, 5, 236
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\ExpensePage.jsx", "JavaScript JSX", 0, 0, 0, 0, -15, 0, 0, 1, -3, -17
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, -8, 0, 0, 3, -9, -14
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\IncomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, -17, 0, 0, 2, -4, -19
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 257, 0, 0, 9, 19, 285
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\PrivacyPolicy.jsx", "JavaScript JSX", 0, 0, 0, 0, -12, 0, 0, 0, 0, -12
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\ReportProblemPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 9, 19, 146
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\ReportsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 81, 0, 0, 11, 14, 106
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\SettingsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 4, -2, 7
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\TermsOfService.jsx", "JavaScript JSX", 0, 0, 0, 0, -16, 0, 0, 0, 0, -16
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\assets\unKnownUser.svg", "XML", 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\assets\unknownUser.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\BudgetAlertManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 1, 10, 55
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\AddDebtModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 1, 11, 92
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\ConfirmationModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 5, 37
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\DebtCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 72, 0, 0, 5, 12, 89
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\DebtsPageComponents\DebtHistoryModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 176, 0, 0, 4, 23, 203
