"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\.github\copilot-instructions.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 11, 46
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\README.md", "Markdown", 0, 69, 0, 0, 0, 0, 0, 0, 21, 90
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\eslint.config.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\implementation.md", "Markdown", 0, 51, 0, 0, 0, 0, 0, 0, 11, 62
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\index.html", "HTML", 68, 0, 0, 0, 0, 0, 0, 4, 13, 85
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\package-lock.json", "JSON", 0, 0, 4432, 0, 0, 0, 0, 0, 1, 4433
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\package.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\public\googled9b3a66721e114b1.html", "HTML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\public\manifest.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 1, 28
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\public\websiteIcon.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 1, 0, 5
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\App.css", "PostCSS", 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 394, 0, 12, 47, 453
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\AdminNotificationsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 187, 0, 3, 24, 214
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\AdminUsersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 196, 0, 0, 20, 216
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\DebtsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 349, 0, 13, 29, 391
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\ExpensePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 94, 0, 2, 17, 113
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 78, 0, 9, 14, 101
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\IncomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 94, 0, 3, 16, 113
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 257, 0, 9, 19, 285
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 14, 110
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\NotFoundPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 4, 48
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\PrivacyPolicy.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 11, 56
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\ReportProblemPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 118, 0, 9, 19, 146
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\ReportsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 299, 0, 15, 48, 362
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\SettingsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 204, 0, 11, 22, 237
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\Pages\TermsOfService.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 12, 61
