Date : 2026-02-01 08:36:41
Directory : c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard
Total : 116 files,  17151 codes, 508 comments, 1758 blanks, all 19417 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         61 |      6,261 |        371 |        817 |      7,449 |
| JSON           |          6 |      5,314 |          0 |          3 |      5,317 |
| PostCSS        |         33 |      5,141 |        125 |        850 |      6,116 |
| JavaScript     |          8 |        175 |          7 |         30 |        212 |
| Markdown       |          3 |        155 |          0 |         43 |        198 |
| HTML           |          2 |         69 |          4 |         13 |         86 |
| XML            |          3 |         36 |          1 |          2 |         39 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        116 |     17,151 |        508 |      1,758 |     19,417 |
| . (Files)                                                                                                                       |          9 |      4,722 |          5 |         52 |      4,779 |
| .github                                                                                                                         |          1 |         35 |          0 |         11 |         46 |
| public                                                                                                                          |          4 |         48 |          1 |          1 |         50 |
| src                                                                                                                             |        102 |     12,346 |        502 |      1,694 |     14,542 |
| src (Files)                                                                                                                     |          6 |        663 |         21 |        101 |        785 |
| src\Pages                                                                                                                       |         14 |      2,110 |         74 |        269 |      2,453 |
| src\Styles                                                                                                                      |          1 |         76 |          4 |         10 |         90 |
| src\Styles\PagesStyle                                                                                                           |          1 |         76 |          4 |         10 |         90 |
| src\assets                                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| src\components                                                                                                                  |         74 |      8,480 |        393 |      1,276 |     10,149 |
| src\components (Files)                                                                                                          |          8 |        807 |         12 |        110 |        929 |
| src\components\DebtsPageComponents                                                                                              |          5 |        519 |         24 |         82 |        625 |
| src\components\ExpensePageComponents                                                                                            |          1 |        274 |          0 |         35 |        309 |
| src\components\HomePageComponents                                                                                               |         12 |      1,479 |        243 |        189 |      1,911 |
| src\components\HomePageComponents (Files)                                                                                       |          8 |        989 |         20 |        122 |      1,131 |
| src\components\HomePageComponents\RightBar                                                                                      |          4 |        490 |        223 |         67 |        780 |
| src\components\Icons                                                                                                            |         16 |         97 |          3 |          9 |        109 |
| src\components\Icons (Files)                                                                                                    |          8 |         37 |          1 |          3 |         41 |
| src\components\Icons\Header_Icons                                                                                               |          4 |         56 |          2 |          6 |         64 |
| src\components\Icons\Profit_Icons                                                                                               |          4 |          4 |          0 |          0 |          4 |
